.04400,0.16100,-0.16100,1.4090e+02,2.060e+01,-2.060e+01,1.09,3.100e-01,-1.100e-01,1825.0,,,2623.55,2247.63,-768.54,10.80,1,q1_q17_dr25_tce,5806.00,163.00,-204.00,4.528,0.036,-0.192,0.8990,0.2600,-0.0870,287.812870,46.340569,15.769
11904835,K08068.01,,CANDIDATE,CANDIDATE,0.9980,0,0,0,0,9.464041300,2.7980000e-04,-2.7980000e-04,138.4500000,2.240000e-02,-2.240000e-02,0.0480,0.4200,-0.0480,6.99900,0.56300,-0.56300,2.0990e+02,2.560e+01,-2.560e+01,1.28,3.700e-01,-1.300e-01,839.0,,,117.23,100.35,-32.72,9.40,1,q1_q17_dr25_tce,5968.00,161.00,-179.00,4.534,0.036,-0.204,0.8810,0.2570,-0.0860,286.121770,50.279449,15.807
8742735,K08165.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1,0,0,0,331.926220000,1.9880000e-02,-1.9880000e-02,289.5792000,2.510000e-02,-2.510000e-02,0.0260,0.4030,-0.0260,10.84000,1.10000,-1.10000,8.0900e+02,1.120e+02,-1.120e+02,2.25,5.500e-01,-1.800e-01,235.0,,,0.72,0.52,-0.18,8.70,1,q1_q17_dr25_tce,5652.00,152.00,-152.00,4.577,0.040,-0.160,0.7980,0.1940,-0.0650,287.047420,44.987968,15.986
8743244,K08166.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1,0,0,0,346.316880000,1.7710000e-02,-1.7710000e-02,247.1069000,4.060000e-02,-4.060000e-02,0.9540,6.8660,-0.0330,21.92000,1.50000,-1.50000,1.4350e+03,1.010e+02,-1.010e+02,5.21,1.640e+00,-7.000e-01,278.0,,,1.42,1.35,-0.50,17.00,1,q1_q17_dr25_tce,6060.00,191.00,-212.00,4.408,0.087,-0.203,1.0680,0.3370,-0.1440,287.338070,44.918709,15.386
8743244,K08166.02,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1,0,0,0,365.610870000,1.9780000e-02,-1.9780000e-02,185.4567000,3.210000e-02,-3.210000e-02,0.9350,0.0380,-0.6960,16.10200,0.84900,-0.84900,1.1160e+03,1.000e+02,-1.000e+02,4.42,1.390e+00,-6.000e-01,273.0,,,1.32,1.26,-0.46,12.30,3,q1_q17_dr25_tce,6060.00,191.00,-212.00,4.408,0.087,-0.203,1.0680,0.3370,-0.1440,287.338070,44.918709,15.386
8748435,K08167.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1,0,0,0,259.857360000,1.5120000e-02,-1.5120000e-02,291.1798000,5.280000e-02,-5.280000e-02,0.5120,0.0790,-0.4290,24.04000,1.70000,-1.70000,3.0770e+02,2.640e+01,-2.640e+01,1.33,2.200e-01,-1.000e-01,237.0,,,0.74,0.39,-0.17,14.20,1,q1_q17_dr25_tce,5374.00,159.00,-143.00,4.610,0.037,-0.105,0.7440,0.1220,-0.0570,289.868040,44.960030,14.458
8766268,K08168.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,1,5.297317360,9.1760000e-05,-9.1760000e-05,135.5479000,1.490000e-02,-1.490000e-02,0.1920,0.2720,-0.1920,3.34100,0.37900,-0.37900,1.6750e+02,2.290e+01,-2.290e+01,1.13,3.600e-01,-1.100e-01,989.0,,,226.10,218.10,-67.06,8.70,1,q1_q17_dr25_tce,5815.00,184.00,-204.00,4.540,0.037,-0.213,0.8770,0.2780,-0.0870,296.422640,44.976181,15.654
8808064,K08169.01,,FALSE POSITIVE,FALSE POSITIVE,0.1530,1,0,0,0,447.970280000,2.9490000e-02,-2.9490000e-02,559.6455000,3.700000e-02,-3.700000e-02,0.0210,0.4100,-0.0210,10.85700,0.84300,-0.84300,5.1270e+02,6.150e+01,-6.150e+01,2.00,6.200e-01,-2.000e-01,230.0,,,0.67,0.60,-0.19,9.20,1,q1_q17_dr25_tce,5911.00,159.00,-177.00,4.530,0.050,-0.212,0.8870,0.2730,-0.0910,287.100130,45.006310,15.152
8813404,K08170.01,,FALSE POSITIVE,FALSE POSITIVE,0.0040,1,0,0,0,374.800950000,1.0500000e-02,-1.0500000e-02,457.3021000,1.960000e-02,-1.960000e-02,0.5390,0.0430,-0.4460,10.69100,0.69000,-0.69000,1.4440e+02,1.500e+01,-1.500e+01,1.53,3.000e-01,-3.700e-01,286.0,,,1.59,0.93,-0.77,11.40,1,q1_q17_dr25_tce,5804.00,146.00,-146.00,4.214,0.228,-0.123,1.2340,0.2440,-0.2990,289.752960,45.006290,12.283
8329346,K08275.01,,CANDIDATE,CANDIDATE,0.2290,0,0,0,0,389.875816000,7.1940000e-03,-7.1940000e-03,273.6498000,1.420000e-02,-1.420000e-02,0.5760,0.0060,-0.4770,3.33600,0.42200,-0.42200,2.1340e+03,2.960e+02,-2.960e+02,3.76,6.300e-01,-2.900e-01,207.0,,,0.44,0.24,-0.11,8.90,1,q1_q17_dr25_tce,5289.00,185.00,-167.00,4.588,0.028,-0.119,0.7900,0.1330,-0.0610,300.696720,44.298409,15.953
8637903,K08276.01,,CANDIDATE,CANDIDATE,0.5410,0,0,0,0,385.858683000,5.2610000e-03,-5.2610000e-03,343.6482700,9.070000e-03,-9.070000e-03,0.8770,0.0910,-0.6300,12.07100,0.33100,-0.33100,5.4840e+02,2.950e+01,-2.950e+01,3.23,1.000e+00,-4.100e-01,300.0,,,1.92,1.69,-0.63,21.20,1,q1_q17_dr25_tce,6551.00,149.00,-216.00,4.367,0.065,-0.195,1.1950,0.3720,-0.1490,296.407870,44.773640,13.993
